,age,workclass,fnlwgt,education,education.num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
3624,35,5,236910,12,13,2,7.0,4,3,0,0,0,60,1,0
3625,44,5,378251,3,9,2,3.0,1,3,1,0,0,38,1,0
3626,36,5,120760,4,14,2,5.0,4,1,0,0,0,40,12,0
3627,22,5,203182,12,13,5,7.0,2,3,1,0,0,20,1,0
3628,32,5,130304,3,9,2,5.0,4,3,0,0,1485,48,1,0
3629,30,4,352542,12,13,4,5.0,3,3,1,0,0,40,1,0
3631,25,5,197728,0,10,5,3.0,5,3,1,0,0,40,1,0
3632,76,5,316185,6,4,1,,0,3,1,0,0,12,1,0
3633,41,5,89226,3,9,4,9.0,0,3,0,0,0,40,1,0
3634,26,5,292353,6,4,2,6.0,4,2,0,0,0,40,1,0
3636,32,5,180296,0,10,4,3.0,3,3,1,0,0,40,1,0
3637,22,5,361487,3,9,5,9.0,0,3,0,0,0,40,1,0
3638,39,5,218490,12,13,2,10.0,4,3,0,0,1848,40,1,1
3639,63,6,231777,12,13,5,11.0,0,3,0,0,0,40,1,0
3640,23,5,189832,9,12,5,11.0,3,3,1,0,0,40,1,0
3641,61,5,232308,13,6,2,6.0,4,3,0,0,0,40,1,0
3642,31,1,33308,14,11,2,9.0,4,3,0,0,0,40,1,0
3643,25,5,333677,15,5,2,6.0,4,3,0,0,0,45,1,0
3644,33,5,170651,3,9,5,13.0,5,3,1,1055,0,40,1,0
3645,39,5,343403,3,9,2,10.0,1,3,1,0,0,36,1,0
3646,53,5,166386,12,13,2,6.0,1,1,1,0,0,40,12,0
3647,26,2,48099,12,13,5,7.0,0,3,1,0,0,40,1,0
3648,21,5,143062,0,10,5,13.0,5,3,0,0,0,32,1,0
3649,18,5,104704,3,9,5,3.0,5,0,0,0,0,40,1,0
3650,34,5,30497,12,13,2,7.0,4,3,0,15024,0,60,1,1
3651,44,1,174325,4,14,2,5.0,4,0,0,7688,0,40,1,1
3652,31,5,286675,3,9,4,9.0,5,3,0,0,0,50,1,0
3653,44,5,59474,3,9,2,11.0,4,3,0,0,0,40,1,1
3654,42,5,378384,7,15,2,5.0,4,3,0,0,1902,60,1,1
3655,43,5,245842,3,9,2,6.0,4,3,0,0,0,44,21,0
3656,33,5,274222,12,13,2,13.0,4,1,0,7688,0,38,1,1
3657,21,5,342575,0,10,5,10.0,5,0,1,0,0,30,1,0
3658,30,5,206051,3,9,2,4.0,4,3,0,0,0,40,1,1
3659,55,5,234213,3,9,2,11.0,4,3,0,0,0,60,1,0
3660,57,5,145189,0,10,5,3.0,0,3,1,0,0,40,1,0
3661,37,5,233490,3,9,5,1.0,0,3,0,0,0,50,1,0
3662,32,5,344129,3,9,2,6.0,4,3,0,0,0,40,1,1
3663,62,6,171315,12,13,2,5.0,4,3,0,0,0,60,1,1
3664,31,6,181485,12,13,5,10.0,0,0,0,0,0,40,1,1
3665,51,5,255412,12,13,2,7.0,4,3,0,0,0,50,24,1
3666,37,5,262409,4,14,4,7.0,3,3,1,0,213,45,1,0
3667,45,5,199590,2,3,2,11.0,4,3,0,0,0,38,21,0
3668,47,5,84726,0,10,2,6.0,4,3,0,0,0,40,1,0
3670,75,6,184335,11,7,2,7.0,4,3,0,0,0,30,1,0
3671,43,5,102025,4,14,2,5.0,4,2,0,0,0,50,1,0
3672,39,5,183898,9,12,2,9.0,4,3,0,7688,0,60,6,1
3673,30,5,55291,12,13,2,5.0,4,3,0,0,0,40,1,1
3674,27,5,150025,2,3,5,4.0,2,3,0,0,0,40,32,0
3675,44,5,100584,3,9,2,6.0,4,4,0,0,0,40,1,0
3676,53,4,181755,4,14,4,5.0,0,3,1,0,0,35,1,1
3677,40,5,150528,12,13,2,3.0,4,3,0,0,0,40,1,0
3678,18,5,107277,11,7,5,10.0,5,3,1,0,0,20,1,0
3679,33,5,247205,12,13,2,,4,0,0,0,0,40,3,0
3680,20,5,291979,3,9,5,10.0,5,3,0,0,0,40,1,0
3681,38,5,270985,0,10,2,7.0,4,0,0,0,0,50,1,0
3682,48,5,62605,3,9,4,3.0,0,3,1,0,0,35,1,0
3683,46,6,176863,3,9,2,7.0,4,3,0,0,0,40,1,0
3684,51,5,53197,3,9,2,9.0,4,3,0,0,0,40,1,0
3685,35,6,267776,3,9,5,13.0,2,3,1,0,0,30,1,0
3686,24,5,308205,6,4,5,4.0,2,3,0,0,0,40,21,0
3687,30,5,306383,0,10,4,4.0,0,3,0,0,0,50,1,0
3688,70,5,35494,3,9,2,7.0,4,3,0,0,0,30,1,0
3689,26,5,291968,3,9,2,11.0,4,3,0,0,0,44,1,0
3690,34,5,80933,3,9,2,9.0,4,3,0,0,1672,40,1,0
3691,46,5,271828,3,9,2,9.0,4,3,0,0,0,40,1,1
3692,70,5,121993,3,9,2,3.0,1,3,1,0,0,5,1,0
3693,37,4,31023,0,10,2,13.0,4,3,0,0,0,40,1,0
3694,36,6,36425,0,10,4,10.0,3,3,1,0,0,35,1,0
3695,23,5,407684,15,5,5,6.0,2,3,1,0,0,40,21,0
3696,28,5,241895,3,9,2,10.0,4,3,0,0,1628,40,1,0
3697,44,6,158555,0,10,2,7.0,4,3,0,0,0,50,1,1
3698,58,5,140363,3,9,4,6.0,0,3,0,3325,0,30,1,0
3699,53,5,123429,0,10,2,7.0,4,3,0,0,0,60,1,1
3700,23,5,40060,0,10,2,4.0,4,3,0,0,0,40,1,0
3701,26,5,290286,3,9,5,9.0,0,0,0,0,0,40,1,0
3703,34,4,106169,4,14,4,5.0,0,3,1,0,0,50,1,0
3704,43,5,76487,11,7,2,9.0,4,3,0,0,0,40,1,0
3705,22,5,437994,0,10,5,13.0,2,0,0,0,0,20,1,0
3706,41,5,113555,0,10,2,9.0,4,4,0,7298,0,50,1,1
3707,36,5,160120,3,9,2,3.0,4,1,0,0,0,40,20,0
3708,41,4,343079,12,13,2,5.0,1,3,1,0,1740,20,1,0
3709,27,5,406662,3,9,5,3.0,0,3,0,4416,0,40,1,0
3710,42,6,37618,0,10,2,1.0,4,3,0,0,0,60,1,0
3711,27,5,114158,14,11,5,3.0,5,3,1,0,0,35,1,0
3712,41,5,115562,3,9,4,,5,3,0,0,0,40,1,0
3713,32,5,353994,12,13,2,7.0,2,1,1,0,0,40,12,1
3714,21,5,344891,0,10,5,3.0,5,1,0,0,0,20,1,0
3715,44,5,286750,12,13,2,7.0,4,0,0,0,0,50,1,1
3716,29,5,194197,12,13,5,7.0,5,3,0,0,0,40,1,0
3717,19,6,206599,0,10,5,13.0,5,3,1,0,0,22,1,0
3718,21,4,596776,0,10,5,3.0,5,3,0,0,0,40,32,0
3719,46,5,56841,3,9,2,11.0,4,3,0,0,0,40,1,0
3720,38,5,112561,12,13,2,7.0,4,3,0,0,0,55,1,1
3721,43,5,147110,0,10,5,3.0,3,3,0,0,0,48,1,1
3722,54,0,175339,3,9,2,10.0,4,3,0,0,0,50,1,1
3723,38,5,234901,4,14,2,7.0,4,3,0,0,1977,60,1,1
3725,50,5,217083,3,9,2,3.0,1,3,1,0,0,40,1,1
3726,30,5,97757,14,11,2,5.0,1,3,1,0,0,36,1,1
3727,30,5,151868,15,5,2,9.0,4,3,0,0,0,40,1,0
3728,28,4,25864,3,9,5,7.0,3,4,1,0,0,35,1,0
3729,26,5,109419,14,11,5,3.0,0,3,1,0,0,45,1,0
3730,37,2,203070,0,10,2,9.0,4,3,0,0,0,43,1,0
3731,32,5,107843,3,9,2,6.0,4,3,0,5178,0,50,1,1
3732,64,1,264544,4,14,2,5.0,1,3,1,0,0,5,1,1
3733,18,5,148644,3,9,5,10.0,5,3,1,0,0,28,1,0
3734,30,5,125762,0,10,2,3.0,4,3,0,0,0,30,1,0
3736,18,5,193741,11,7,5,13.0,2,0,0,0,0,30,1,0
3737,27,5,588905,3,9,2,9.0,4,3,0,0,0,40,1,0
3738,49,5,115613,15,5,2,13.0,4,3,0,0,0,40,1,0
3739,46,1,222374,3,9,2,13.0,4,3,0,0,0,43,1,1
3740,37,5,185359,3,9,2,3.0,4,3,0,0,0,40,1,0
3741,30,5,173647,0,10,4,11.0,0,3,0,0,0,40,1,0
3742,29,5,31166,3,9,4,5.0,0,2,1,0,0,30,6,0
3744,25,6,189027,3,9,2,1.0,4,3,0,0,0,30,1,0
3745,38,5,296125,3,9,3,8.0,3,0,1,0,0,30,1,0
3747,35,5,334291,0,10,2,9.0,4,3,0,0,0,50,1,0
3748,56,5,318450,4,14,2,3.0,4,3,0,0,0,80,1,1
3749,29,5,174163,0,10,4,7.0,0,3,1,0,0,40,1,0
3750,41,5,119721,3,9,2,2.0,4,3,0,0,0,40,1,0
3751,47,5,142719,3,9,2,6.0,4,3,0,0,0,40,1,0
3752,23,5,162593,12,13,5,3.0,0,1,1,0,0,40,1,0
3753,46,6,236852,12,13,2,10.0,4,3,0,0,0,45,1,1
3754,28,4,154863,3,9,5,,2,0,0,0,1876,40,1,0
3755,39,5,168894,12,13,4,3.0,3,3,1,0,0,20,1,0
3756,42,6,344920,0,10,2,1.0,1,3,1,0,0,50,1,0
3757,39,5,33355,3,9,2,11.0,4,3,0,7298,0,48,1,1
3759,37,0,291518,12,13,2,9.0,4,3,0,15024,0,55,1,1
3760,57,5,170244,7,15,5,5.0,0,3,1,0,0,40,1,0
3761,22,5,369549,0,10,5,13.0,0,0,1,0,0,30,1,0
3762,24,5,23438,14,11,5,3.0,0,3,0,0,0,30,1,1
3763,19,5,202673,0,10,5,4.0,5,3,0,0,0,50,1,0
3764,55,5,171780,9,12,4,10.0,3,0,1,0,0,30,1,0
3765,37,4,264503,3,9,2,,4,3,0,0,0,40,1,0
3766,37,4,244341,0,10,5,3.0,3,0,1,0,0,40,1,0
3767,28,5,209109,12,13,2,13.0,4,3,0,0,0,50,1,0
3768,27,5,187392,3,9,5,13.0,0,3,1,0,0,40,1,0
3769,40,1,119578,12,13,5,5.0,3,3,1,0,0,20,1,0
3770,51,5,195105,3,9,4,8.0,5,3,1,0,0,40,1,0
3771,52,5,101752,14,11,2,11.0,4,3,0,0,0,56,1,0
3773,49,0,362654,0,10,2,7.0,4,3,0,15024,0,50,1,1
3775,40,2,77332,0,10,4,3.0,0,3,1,0,0,50,1,0
3776,80,5,87518,0,10,5,5.0,0,3,0,0,1816,60,1,0
3777,63,5,113324,0,10,2,,4,3,0,0,0,40,1,0
3778,63,5,96299,3,9,4,11.0,3,3,0,0,0,45,1,1
3779,51,5,237729,0,10,4,3.0,3,3,1,0,0,40,1,0
3780,23,5,200973,3,9,5,3.0,0,3,1,0,0,40,1,0
3781,66,6,212456,3,9,1,9.0,0,3,0,0,0,20,1,0
3782,33,6,131568,3,9,2,10.0,4,3,0,0,0,66,1,0
3783,49,5,185859,3,9,2,9.0,4,3,0,0,0,43,1,0
3784,20,5,231981,0,10,5,11.0,0,3,0,0,0,32,1,0
3785,33,0,117963,9,12,2,7.0,4,3,0,0,1887,60,1,1
3786,26,5,78172,0,10,6,,4,3,0,0,0,40,1,0
3787,52,5,164135,3,9,2,7.0,4,3,0,0,0,50,1,1
3788,33,5,171216,12,13,2,7.0,4,3,0,0,0,50,1,1
3789,47,5,140664,12,13,4,10.0,0,3,0,0,0,45,1,0
3790,23,5,249277,3,9,5,7.0,5,0,0,0,0,75,1,0
3791,53,2,117847,9,12,2,3.0,4,3,0,0,0,40,1,0
3792,19,5,52372,0,10,5,13.0,5,3,0,0,0,20,1,0
3793,26,2,95806,0,10,5,9.0,0,3,0,3325,0,40,1,0
3794,53,5,137428,6,4,2,11.0,4,3,0,0,0,60,1,1
3795,65,5,169047,3,9,5,6.0,0,3,0,0,0,10,1,0
3796,68,5,339168,12,13,2,11.0,4,3,0,0,0,30,1,0
3797,30,5,504725,13,6,5,10.0,2,3,0,0,0,18,32,0
3798,28,5,132870,11,7,2,9.0,4,3,0,0,0,45,1,0
3799,54,4,135840,13,6,2,,4,3,0,0,0,45,1,0
3800,30,5,35644,3,9,5,13.0,5,3,0,0,0,10,1,0
3801,22,5,198148,0,10,5,3.0,5,3,0,0,0,50,1,0
3802,25,5,220098,3,9,5,13.0,5,3,0,0,0,30,1,0
3803,19,5,262515,11,7,5,13.0,2,3,0,0,0,20,1,0
3805,32,2,111567,7,15,2,5.0,4,3,0,0,0,40,1,1
3806,23,5,194096,12,13,5,7.0,5,3,1,0,0,40,1,0
3807,51,4,420917,12,13,2,5.0,4,3,0,0,0,45,1,0
3808,25,5,197871,0,10,2,10.0,4,3,0,0,0,44,1,1
3809,46,4,253116,12,13,5,5.0,0,0,1,0,0,40,1,0
3810,38,5,206535,0,10,4,2.0,3,3,1,0,0,50,1,0
3811,26,1,70447,3,9,2,,4,1,0,0,0,40,1,1
3812,46,5,201217,3,9,4,5.0,0,3,1,0,0,40,1,0
3813,25,5,209970,12,13,5,5.0,0,3,1,0,0,40,1,0
3814,20,5,196745,0,10,5,13.0,5,3,1,594,0,16,1,0
3815,29,4,175262,4,14,2,5.0,2,3,0,0,0,35,1,0
3816,51,0,304955,4,14,2,7.0,4,3,0,0,0,50,1,1
3817,40,5,181265,0,10,2,9.0,4,3,0,0,0,52,1,0
3818,24,5,200973,0,10,5,3.0,0,3,1,0,0,40,1,0
3819,24,6,37440,12,13,5,1.0,3,3,0,0,0,50,1,0
3820,31,5,395170,14,11,2,13.0,1,4,1,0,0,24,21,0
3822,34,5,353213,9,12,3,9.0,0,3,0,0,0,60,1,0
3823,19,5,38619,0,10,5,1.0,5,3,0,0,0,66,1,0
3824,21,5,177711,3,9,5,11.0,5,0,0,0,0,40,1,0
3825,21,5,190761,13,6,2,1.0,4,3,0,0,0,70,1,0
3826,23,5,27776,0,10,2,11.0,4,3,0,0,0,24,1,0
3827,37,2,470663,0,10,5,9.0,0,3,0,0,0,40,1,0
3828,40,5,71738,4,14,2,7.0,4,3,0,0,0,46,1,1
3829,57,5,74156,3,9,2,13.0,4,3,0,0,0,30,1,0
3830,48,5,202467,12,13,2,5.0,4,3,0,0,1485,40,1,1
3831,24,5,123983,11,7,2,11.0,4,1,0,0,0,40,20,0
3832,43,5,193494,0,10,2,5.0,4,3,0,0,0,40,1,0
3834,40,5,130571,3,9,5,13.0,0,3,1,0,0,40,1,0
3835,52,0,90363,7,15,2,5.0,4,3,0,99999,0,35,1,1
3836,49,5,83444,3,9,4,7.0,0,3,0,0,0,40,1,0
3837,45,6,239093,0,10,2,7.0,4,4,0,3137,0,40,1,0
3838,62,4,151369,3,9,5,9.0,0,3,0,0,0,40,1,0
3839,29,5,56630,14,11,2,3.0,4,3,0,0,0,40,1,0
3840,49,5,117095,3,9,3,6.0,3,3,1,0,0,40,1,0
3841,55,2,189985,0,10,4,3.0,3,0,1,0,0,40,1,0
3843,37,0,126675,12,13,5,7.0,5,3,0,0,0,40,1,0
3844,43,1,199806,12,13,2,3.0,4,3,0,0,0,40,1,1
3845,29,5,57596,0,10,4,3.0,0,3,1,0,0,40,1,0
3846,44,5,103459,3,9,2,10.0,1,3,1,0,0,40,1,1
3847,28,5,282398,0,10,3,2.0,3,3,0,0,0,40,1,1
3848,38,5,298841,0,10,5,7.0,0,3,1,0,0,45,1,0
3849,45,5,33300,14,11,2,10.0,4,3,0,0,1977,50,1,1
3851,19,5,306467,0,10,5,13.0,5,3,1,0,0,20,1,0
3852,20,5,189888,5,8,5,13.0,0,3,0,0,0,40,1,0
3853,60,5,83861,3,9,2,4.0,4,3,0,0,0,40,1,0
3854,30,5,117393,3,9,5,10.0,0,3,1,0,0,40,1,0
3856,51,5,179010,0,10,4,10.0,0,3,1,0,0,60,1,0
3858,48,5,316101,3,9,4,7.0,3,3,1,0,0,40,1,0
3859,43,5,293305,12,13,2,10.0,4,3,0,0,1887,40,1,1
3860,51,4,175750,3,9,4,11.0,3,0,0,0,0,40,1,0
3861,41,5,121718,14,11,2,2.0,4,3,0,0,1848,48,1,1
3863,50,1,229272,3,9,2,9.0,4,0,0,0,0,40,1,1
3864,46,5,142828,3,9,2,10.0,1,3,1,0,0,40,1,1
3865,54,5,22743,0,10,2,11.0,4,3,0,15024,0,60,1,1
3866,68,5,76371,3,9,2,4.0,4,3,0,0,0,45,1,1
3867,23,6,216129,9,12,5,9.0,0,3,0,0,0,30,1,0
3868,49,5,107425,4,14,5,10.0,0,3,1,0,0,35,1,0
3869,24,5,611029,13,6,2,4.0,4,3,0,0,0,40,1,0
3870,30,4,363032,3,9,2,,4,0,0,0,0,40,1,0
3871,38,5,170020,3,9,2,6.0,4,3,0,3137,0,45,1,0
3872,34,5,137900,3,9,5,10.0,0,3,1,0,0,35,1,0
3873,22,5,322674,0,10,5,7.0,5,3,0,0,0,40,1,0
3874,30,5,23778,6,4,3,4.0,0,3,0,0,0,40,1,0
3875,61,5,147845,6,4,2,11.0,4,3,0,0,0,31,1,0
3876,36,5,175759,3,9,4,7.0,3,3,0,0,0,40,1,0
3877,51,0,166459,14,11,2,7.0,4,3,0,0,0,40,1,0
3878,43,5,128212,2,3,2,6.0,1,1,1,0,0,40,20,1
3879,54,2,127455,0,10,2,,4,3,0,0,0,48,1,1
3880,63,5,134699,3,9,1,5.0,0,3,1,0,0,25,1,0
3881,51,5,254230,0,10,2,7.0,4,3,0,0,0,40,1,1
3882,63,6,159715,13,6,2,6.0,4,3,0,0,0,40,1,0
3883,51,4,116286,4,14,2,5.0,4,3,0,0,0,60,1,1
3884,27,5,146719,3,9,4,10.0,5,3,1,0,0,35,1,0
3885,35,5,361888,9,12,2,2.0,4,3,0,0,0,40,1,1
3887,46,6,32825,3,9,3,9.0,3,3,0,0,0,40,1,0
3888,53,5,225768,14,11,2,9.0,4,0,0,0,0,40,1,1
3889,26,2,393728,0,10,4,3.0,5,3,0,0,0,24,1,0
3890,43,5,160369,3,9,5,6.0,5,3,0,0,0,40,1,0
3891,39,5,191807,3,9,2,10.0,4,3,0,15024,0,50,1,1
3892,50,2,176969,3,9,4,5.0,0,3,0,0,1590,40,1,0
3893,54,2,33863,3,9,2,3.0,4,3,0,0,0,40,1,1
3895,57,1,141459,0,10,4,5.0,3,3,1,0,0,40,1,0
3897,29,4,95393,3,9,5,13.0,5,3,0,0,0,20,1,0
3898,20,5,221095,3,9,5,9.0,2,0,0,0,0,40,1,0
3899,53,5,104501,12,13,2,7.0,4,3,0,0,1902,55,1,1
3902,23,5,495888,3,9,5,13.0,0,3,0,0,0,40,37,0
3903,69,5,185691,11,7,2,3.0,4,3,0,0,0,20,1,0
3904,56,5,201822,6,4,2,4.0,4,3,0,0,2002,40,1,0
3905,53,4,549341,12,13,2,5.0,4,0,0,0,0,35,1,0
3906,28,5,247445,3,9,5,3.0,0,3,0,0,0,40,1,0
3907,28,5,199566,12,13,2,13.0,4,0,0,0,0,40,1,0
3908,33,0,139057,3,9,2,7.0,4,1,0,0,0,84,28,1
3909,48,5,185039,3,9,4,10.0,3,3,1,0,0,30,1,0
3910,61,5,166124,3,9,2,9.0,4,3,0,0,0,40,1,1
3911,49,5,82649,12,13,2,5.0,4,3,0,5013,0,45,1,0
3912,48,5,109275,0,10,2,7.0,4,3,0,0,0,40,1,0
3913,32,5,408328,6,4,2,9.0,4,3,0,0,0,40,1,0
3914,51,5,186338,3,9,2,9.0,4,3,0,0,0,40,1,1
3916,19,5,251579,0,10,5,13.0,5,3,0,0,0,14,1,0
3917,47,5,76612,3,9,2,5.0,4,3,0,0,0,50,1,0
3918,25,5,22546,12,13,5,11.0,5,3,0,0,0,60,1,0
3919,72,5,53684,0,10,2,,4,0,0,0,0,40,1,0
3920,29,5,183627,11,7,4,9.0,0,3,0,0,0,40,1,0
3921,22,5,73203,3,9,5,3.0,5,3,1,0,0,40,1,0
3922,57,5,108426,3,9,2,13.0,4,0,0,0,0,48,3,0
3923,50,5,116287,9,12,2,3.0,4,3,0,0,0,60,30,0
3924,45,0,145697,0,10,2,10.0,4,3,0,0,0,30,1,0
3925,52,5,326156,0,10,4,5.0,0,3,0,0,0,40,1,1
3926,53,5,201127,4,14,2,7.0,4,3,0,0,0,48,1,1
3927,36,5,250791,3,9,2,4.0,4,3,0,0,0,48,1,0
3928,46,5,328216,3,9,2,9.0,4,3,0,0,0,40,1,1
3929,20,5,400443,3,9,5,10.0,5,3,1,0,0,20,1,0
3930,75,5,95985,2,3,1,13.0,3,0,0,0,0,10,1,0
3931,32,4,127651,3,9,2,9.0,4,3,0,0,0,40,1,1
3932,28,5,250679,3,9,2,9.0,4,3,0,0,0,40,1,0
3933,53,5,103950,4,14,4,5.0,0,3,1,0,0,40,1,0
3934,17,5,200199,11,7,5,10.0,5,3,1,0,0,35,1,0
3935,46,1,295791,14,11,4,3.0,3,3,1,0,0,38,1,0
3936,39,5,191841,9,12,3,5.0,0,3,1,0,0,30,1,0
3937,38,5,82622,0,10,4,9.0,3,3,0,0,0,40,1,0
3938,36,5,160728,3,9,2,6.0,4,3,0,0,0,60,1,0
3939,63,4,109849,12,13,5,5.0,0,0,1,0,0,21,1,0
3940,28,5,339897,8,2,2,6.0,4,3,0,0,0,43,21,0
3942,49,5,371299,3,9,5,3.0,3,3,1,0,0,35,1,0
3943,43,5,421837,0,10,2,6.0,4,3,0,0,0,40,21,0
3944,38,5,29702,12,13,2,7.0,4,3,0,0,0,45,1,1
3945,39,5,117381,3,9,5,2.0,0,3,0,0,0,62,3,0
3947,40,5,338740,3,9,2,7.0,4,3,0,0,0,40,1,0
3950,24,2,314525,12,13,5,5.0,0,3,0,0,1741,45,1,0
3951,30,5,173005,0,10,2,2.0,4,3,0,0,0,50,1,1
3952,44,5,286750,0,10,2,11.0,4,0,0,0,0,40,1,0
3953,40,5,163985,3,9,2,10.0,4,3,0,0,0,24,1,0
3954,30,5,219318,3,9,5,6.0,2,3,1,0,0,35,4,0
3955,42,5,44121,4,14,4,5.0,0,3,1,0,1876,40,1,0
3956,52,6,103794,14,11,4,5.0,0,3,1,0,0,35,1,0
3957,42,5,310632,0,10,2,9.0,4,0,0,0,0,40,1,1
3958,39,5,153976,0,10,2,9.0,4,3,0,0,0,52,1,1
3959,43,5,174575,0,10,4,5.0,3,3,0,0,0,45,1,0
3960,62,6,82388,3,9,2,9.0,4,3,0,10566,0,40,1,0
3961,30,5,207253,14,11,2,9.0,4,3,0,0,0,40,3,0
3963,39,5,746786,12,13,2,5.0,4,3,0,0,0,55,1,1
3964,41,5,308296,3,9,2,11.0,1,3,1,0,0,20,1,0
3965,49,5,101825,4,14,2,5.0,1,3,1,0,1977,40,1,1
3966,25,5,109009,11,7,2,9.0,4,3,0,0,0,40,1,0
3967,48,5,413363,11,7,2,11.0,4,3,0,0,2002,40,1,0
3969,44,1,296326,12,13,5,3.0,0,3,0,0,0,40,1,0
3970,36,5,208358,15,5,4,4.0,0,3,0,4650,0,56,1,0
3971,40,5,120277,3,9,5,4.0,5,3,0,0,0,40,23,0
3972,21,5,193219,3,9,5,3.0,5,0,1,0,0,35,19,0
3973,41,5,86399,0,10,3,3.0,0,3,1,0,0,38,1,0
3974,24,5,215251,12,13,5,7.0,0,3,1,0,0,50,1,0
3975,67,6,124470,3,9,2,1.0,4,3,0,0,0,60,1,0
3976,24,5,228649,12,13,5,3.0,5,3,0,0,0,38,1,0
3977,50,6,386397,12,13,2,10.0,4,3,0,0,0,60,1,0
3978,48,5,96798,4,14,4,10.0,0,3,0,0,0,35,1,0
3980,29,5,159768,3,9,5,6.0,0,3,0,3325,0,40,27,0
3981,50,5,139464,12,13,4,5.0,3,3,1,0,0,36,23,0
3982,64,1,550848,13,6,2,7.0,4,3,0,0,0,40,1,1
3983,49,5,68505,15,5,4,13.0,0,0,0,0,0,37,1,0
3984,20,5,122215,3,9,5,13.0,5,0,0,0,0,52,1,0
3985,30,5,159442,3,9,3,3.0,0,3,1,0,0,40,1,0
3986,37,5,80638,12,13,2,13.0,4,1,0,0,0,30,12,0
3987,52,5,192390,3,9,2,6.0,4,3,0,0,0,40,1,1
3988,22,5,191324,0,10,5,,5,3,0,0,0,25,1,0
3990,19,1,73009,0,10,5,3.0,5,3,0,0,0,15,1,0
3991,52,5,177858,3,9,4,9.0,2,3,0,0,0,55,1,1
3992,42,5,163003,12,13,0,2.0,5,1,1,0,0,40,1,0
3993,35,5,95551,3,9,3,7.0,0,3,1,0,0,36,1,0
3994,27,5,125298,0,10,5,3.0,3,3,1,0,0,50,1,0
3995,54,1,198186,3,9,5,13.0,0,0,1,0,0,38,1,0
3996,37,5,295949,3,9,2,9.0,4,3,0,0,1628,40,1,0
3997,37,5,182668,13,6,2,11.0,4,3,0,0,0,35,1,0
3998,28,5,124905,6,4,2,9.0,4,3,0,0,0,30,1,0
3999,63,5,171635,12,13,2,10.0,4,3,0,0,0,40,1,0
4000,19,5,376240,3,9,5,6.0,5,3,0,0,0,42,1,0
4001,28,5,157391,12,13,5,10.0,5,3,1,0,0,40,1,0
4003,44,5,178134,7,15,5,5.0,0,3,1,0,0,40,1,1
4004,31,5,207201,0,10,2,9.0,4,3,0,0,0,40,1,1
4006,64,5,102103,3,9,4,8.0,0,3,1,0,0,50,1,0
4007,40,5,92036,3,9,2,4.0,4,3,0,0,0,40,1,1
4008,59,4,236426,9,12,4,5.0,0,3,1,0,0,50,1,0
4009,22,5,400966,0,10,5,3.0,5,3,1,0,0,40,1,0
4010,40,5,404573,0,10,5,10.0,0,3,1,0,0,44,1,0
4011,35,5,227571,6,4,2,4.0,4,3,0,0,0,40,21,0
4012,20,5,145917,0,10,5,3.0,5,3,1,0,0,15,1,0
4013,35,4,190226,3,9,5,,5,3,0,0,0,40,1,0
4014,28,5,356555,0,10,2,7.0,4,3,0,0,0,48,1,0
4015,28,5,66473,3,9,4,6.0,5,3,0,0,0,40,1,0
4018,25,0,163039,9,12,5,10.0,0,3,0,0,0,60,1,0
4019,37,5,89559,3,9,4,3.0,3,3,1,0,0,40,1,0
4021,31,5,163303,14,11,4,10.0,5,3,1,0,0,38,1,0
4022,41,5,192712,3,9,5,3.0,2,3,1,0,0,40,1,0
4023,31,5,381153,13,6,2,2.0,4,3,0,0,0,40,1,1
4024,44,5,222434,3,9,2,9.0,4,3,0,0,0,40,1,0
4025,20,5,34706,0,10,5,7.0,0,0,0,0,0,47,1,0
4026,57,6,47857,0,10,2,1.0,4,3,0,0,0,50,1,0
4027,26,5,195216,3,9,4,13.0,0,3,1,0,0,12,1,0
4028,44,0,103643,3,9,2,7.0,4,3,0,5013,0,60,10,0
4029,29,4,329426,3,9,5,,0,3,0,0,0,40,1,0
4030,36,5,183612,3,9,2,5.0,4,3,0,0,1977,40,1,1
4031,40,5,184105,14,11,2,9.0,4,3,0,0,0,40,1,1
4032,21,5,211385,9,12,5,13.0,0,0,0,0,0,35,19,0
4033,21,5,61777,0,10,5,9.0,0,3,0,0,0,70,1,0
4034,34,6,320194,7,15,3,5.0,3,3,0,0,0,48,1,1
4035,24,5,199444,12,13,5,7.0,5,3,1,0,0,15,1,0
4036,28,5,312588,13,6,4,13.0,0,3,1,0,0,40,1,0
4037,35,5,168675,3,9,3,11.0,5,3,0,0,0,50,1,0
4038,35,5,87556,3,9,4,9.0,0,3,0,0,0,40,1,0
4039,38,1,220421,12,13,5,7.0,0,3,1,0,0,40,1,0
4040,44,2,404599,3,9,4,3.0,3,0,1,0,0,40,1,0
4041,39,5,99065,12,13,2,4.0,1,3,1,0,0,40,18,1
4042,57,4,109973,3,9,4,13.0,0,3,1,0,0,40,1,0
4043,19,5,246652,0,10,5,10.0,5,3,1,0,0,40,1,0
4044,29,5,57423,14,11,2,6.0,4,3,0,0,0,48,1,0
4045,23,5,291248,3,9,5,6.0,2,0,0,0,0,40,1,0
4046,50,5,163708,3,9,1,13.0,3,3,1,0,0,40,1,0
4047,51,6,240358,0,10,2,9.0,4,3,0,0,0,20,1,0
4048,28,5,25955,14,11,4,9.0,0,4,0,0,0,40,1,0
